RESULT_COUNT: 441,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,BETA
2017-08-31,1.2256
2017-07-31,1.2334
2017-06-30,1.2223
2017-05-31,1.2094
2017-04-28,1.2249
2017-03-31,1.2031
2017-02-28,1.1947
2017-01-31,1.217
2016-12-30,1.1958
2016-11-30,1.1747
2016-10-31,1.2026
2016-09-30,1.2184
2016-08-31,1.1575
2016-07-29,1.099
2016-06-30,1.1105
2016-05-31,1.0965
2016-04-29,1.0633
2016-03-31,1.0857
2016-02-29,1.0496
2016-01-29,1.0674
2015-12-31,1.0137
2015-11-30,1.0056
2015-10-30,1.0118
2015-09-30,1.0089
2015-08-31,1.0142
2015-07-31,0.9381
2015-06-30,0.8846
2015-05-29,0.8442
2015-04-30,0.9187
2015-03-31,0.9143
2015-02-27,0.9354
2015-01-30,0.9145
2014-12-31,0.9147
2014-11-28,0.9364
2014-10-31,0.9049
2014-09-30,0.9687
2014-08-29,0.8944
2014-07-31,0.8969
2014-06-30,0.8897
2014-05-30,0.8899
2014-04-30,0.8846
2014-03-31,0.8964
2014-02-28,0.9284
2014-01-31,0.917
2013-12-31,0.9334
2013-11-29,0.9349
2013-10-31,0.9453
2013-09-30,0.9521
2013-08-30,1.0114
2013-07-31,1.0494
2013-06-28,1.0667
2013-05-31,1.057
2013-04-30,1.1082
2013-03-28,1.0949
2013-02-28,1.1165
2013-01-31,1.1002
2012-12-31,1.1259
2012-11-30,1.1238
2012-10-31,1.099
2012-09-28,1.0858
2012-08-31,1.0856
2012-07-31,1.0773
2012-06-29,1.0981
2012-05-31,1.1113
2012-04-30,1.0769
2012-03-30,1.0877
2012-02-29,1.0619
2012-01-31,1.068
2011-12-30,1.0498
2011-11-30,1.0469
2011-10-31,1.0725
2011-09-30,0.947
2011-08-31,0.9779
2011-07-29,0.9853
2011-06-30,0.982
2011-05-31,0.976
2011-04-29,0.9775
2011-03-31,0.9964
2011-02-28,0.9792
2011-01-31,0.978
2010-12-31,0.9896
2010-11-30,1.0017
2010-10-29,1.0106
2010-09-30,1.0074
2010-08-31,1.003
2010-07-30,1.0113
2010-06-30,1.0004
2010-05-28,0.9893
2010-04-30,0.9667
2010-03-31,0.9548
2010-02-26,0.9513
2010-01-29,0.9534
2009-12-31,0.9604
2009-11-30,0.9598
2009-10-30,0.9633
2009-09-30,0.9638
2009-08-31,0.9598
2009-07-31,0.972
2009-06-30,0.9769
2009-05-29,0.98
2009-04-30,0.9866
2009-03-31,0.976
2009-02-27,0.9755
2009-01-30,0.9642
2008-12-31,0.9893
2008-11-28,0.9941
2008-10-31,0.9859
2008-09-30,1.341
2008-08-29,1.3157
2008-07-31,1.2942
2008-06-30,1.3488
2008-05-30,1.396
2008-04-30,1.4555
2008-03-31,1.5402
2008-02-29,1.5644
2008-01-31,1.6756
2007-12-31,1.5963
2007-11-30,1.5671
2007-10-31,1.5277
2007-09-28,1.5227
2007-08-31,1.5033
2007-07-31,1.4605
2007-06-29,1.5858
2007-05-31,1.6953
2007-04-30,1.7191
2007-03-30,1.6927
2007-02-28,1.7316
2007-01-31,1.7624
2006-12-29,1.7033
2006-11-30,1.6626
2006-10-31,1.647
2006-09-29,1.67
2006-08-31,1.6926
2006-07-31,1.6944
2006-06-30,1.6093
2006-05-31,1.605
2006-04-28,1.5278
2006-03-31,1.4997
2006-02-28,1.2822
2006-01-31,1.2598
2005-12-30,1.2023
2005-11-30,1.2053
2005-10-31,1.1396
2005-09-30,1.0586
2005-08-31,0.9742
2005-07-29,0.9753
2005-06-30,1.0559
2005-05-31,1.1342
2005-04-29,1.1085
2005-03-31,1.0301
2005-02-28,1.0337
2005-01-31,1.0247
2004-12-31,1.075
2004-11-30,1.1213
2004-10-29,1.0897
2004-09-30,1.108
2004-08-31,0.9891
2004-07-30,0.9858
2004-06-30,1.0144
2004-05-28,1.0267
2004-04-30,1.0386
2004-03-31,1.0969
2004-02-27,1.0487
2004-01-30,1.0459
2003-12-31,1.0495
2003-11-28,1.0188
2003-10-31,1.0873
2003-09-30,1.0791
2003-08-29,1.1295
2003-07-31,1.1191
2003-06-30,1.1495
2003-05-30,1.1273
2003-04-30,1.1379
2003-03-31,1.1659
2003-02-28,1.2464
2003-01-31,1.2324
2002-12-31,1.2376
2002-11-29,1.2728
2002-10-31,1.2833
2002-09-30,1.2072
2002-08-30,1.2834
2002-07-31,1.3082
2002-06-28,1.283
2002-05-31,1.2599
2002-04-30,1.2295
2002-03-28,1.2419
2002-02-28,1.2199
2002-01-31,1.2392
2001-12-31,1.2584
2001-11-30,1.2572
2001-10-31,1.2469
2001-09-28,1.2256
2001-08-31,1.2998
2001-07-31,1.3251
2001-06-29,1.3273
2001-05-31,1.3054
2001-04-30,1.292
2001-03-30,1.2569
2001-02-28,1.3059
2001-01-31,1.3227
2000-12-29,1.277
2000-11-30,1.3059
