RESULT_COUNT: 2546,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,EARNINGSYIELD
2017-11-15,0.054452
2017-11-14,0.053734
2017-11-13,0.052921
2017-11-10,0.052709
2017-11-09,0.052347
2017-11-08,0.05224
2017-11-07,0.052667
2017-11-06,0.052694
2017-11-03,0.053372
2017-10-24,0.056842
2017-10-23,0.057078
2017-10-20,0.057049
2017-10-19,0.057148
2017-10-18,0.055796
2017-10-17,0.055549
2017-10-16,0.055754
2017-10-13,0.05678
2017-10-12,0.057141
2017-10-11,0.05694
2017-10-10,0.057177
2017-10-09,0.057199
2017-10-06,0.057398
2017-10-05,0.05738
2017-10-04,0.05809
2017-10-03,0.057703
2017-10-02,0.057954
2017-09-29,0.057838
2017-09-28,0.058154
2017-09-27,0.057796
2017-09-26,0.058208
2017-09-25,0.059209
2017-09-22,0.058687
2017-09-21,0.058113
2017-09-20,0.057115
2017-09-19,0.056158
2017-09-18,0.056179
2017-09-15,0.055754
2017-09-14,0.056317
2017-09-13,0.055834
2017-09-12,0.055428
2017-09-11,0.055195
2017-09-08,0.056193
2017-09-07,0.055277
2017-09-06,0.055055
2017-09-05,0.054997
2017-09-01,0.054337
2017-08-31,0.054353
2017-08-30,0.054569
2017-08-29,0.054717
2017-08-28,0.055205
2017-08-25,0.055761
2017-08-24,0.055967
2017-08-23,0.055719
2017-08-22,0.055789
2017-08-21,0.056701
2017-08-18,0.056596
2017-08-17,0.056464
2017-08-16,0.055383
2017-08-15,0.05516
2017-08-14,0.055764
2017-08-11,0.056604
2017-08-10,0.057409
2017-08-09,0.055345
2017-08-08,0.055684
2017-08-07,0.056207
2017-08-04,0.056998
2017-08-03,0.057298
2017-08-02,0.056726
2017-08-01,0.057922
2017-07-31,0.058388
2017-07-28,0.058135
2017-07-27,0.057725
2017-07-26,0.056634
2017-07-25,0.056901
2017-07-24,0.057145
2017-07-21,0.057837
2017-07-20,0.05781
2017-07-19,0.05755
2017-07-18,0.05791
2017-07-17,0.058111
2017-07-14,0.058314
2017-07-13,0.058815
2017-07-12,0.059634
2017-07-11,0.061251
2017-07-10,0.059914
2017-07-07,0.06028
2017-07-06,0.060892
2017-07-05,0.060317
2017-07-03,0.060565
2017-06-30,0.060347
2017-06-29,0.060489
2017-06-28,0.059598
2017-06-27,0.060464
2017-06-26,0.059602
2017-06-23,0.059414
2017-06-22,0.05968
2017-06-21,0.059581
2017-06-20,0.059935
2017-06-19,0.05939
2017-06-16,0.061089
2017-06-15,0.060234
2017-06-14,0.059873
2017-06-13,0.059289
2017-06-12,0.059807
2017-06-09,0.058338
2017-06-08,0.056075
2017-06-07,0.055938
2017-06-06,0.056271
2017-06-05,0.056462
2017-06-02,0.055909
2017-06-01,0.056738
2017-05-31,0.056894
2017-05-30,0.056557
2017-05-26,0.056579
2017-05-25,0.056484
2017-05-24,0.056679
2017-05-23,0.056509
2017-05-22,0.05644
2017-05-19,0.056782
2017-05-18,0.056976
2017-05-17,0.057844
2017-05-16,0.055902
2017-05-15,0.05582
2017-05-12,0.055677
2017-05-11,0.056454
2017-05-10,0.056708
2017-05-09,0.056451
2017-05-08,0.056805
2017-05-05,0.058345
2017-05-04,0.059313
2017-05-03,0.059099
2017-05-02,0.057533
2017-05-01,0.05789
2017-04-28,0.059079
2017-04-27,0.059021
2017-04-26,0.059079
2017-04-25,0.058715
2017-04-24,0.059091
2017-04-21,0.059652
2017-04-20,0.059581
2017-04-19,0.060326
2017-04-18,0.060104
2017-04-17,0.05985
2017-04-13,0.060168
2017-04-12,0.059854
2017-04-11,0.059922
2017-04-10,0.059289
2017-04-07,0.059207
2017-04-06,0.059075
2017-04-05,0.058927
2017-04-04,0.058622
2017-04-03,0.059058
2017-03-31,0.059075
2017-03-30,0.058964
2017-03-29,0.058886
2017-03-28,0.059017
2017-03-27,0.060241
2017-03-24,0.060343
2017-03-23,0.060223
2017-03-22,0.06001
2017-03-21,0.060682
2017-03-20,0.059998
2017-03-17,0.060623
2017-03-16,0.060335
2017-03-15,0.060421
2017-03-14,0.06106
2017-03-13,0.060968
2017-03-10,0.060994
2017-03-09,0.061209
2017-03-08,0.061029
2017-03-07,0.060828
2017-03-06,0.060906
2017-03-03,0.060715
2017-03-02,0.061073
2017-03-01,0.060717
2017-02-28,0.061951
2017-02-27,0.061978
2017-02-24,0.062101
2017-02-23,0.06216
2017-02-22,0.061897
2017-02-21,0.062083
2017-02-17,0.062531
2017-02-16,0.062706
2017-02-15,0.062628
2017-02-14,0.06286
2017-02-13,0.06367
2017-02-10,0.064235
2017-02-09,0.064094
2017-02-08,0.064274
2017-02-07,0.064523
2017-02-06,0.065137
2017-02-03,0.065747
2017-02-02,0.066034
2017-02-01,0.065895
2017-01-31,0.068449
2017-01-30,0.068292
2017-01-27,0.068112
2017-01-26,0.068118
2017-01-25,0.068168
2017-01-24,0.069236
2017-01-23,0.069173
2017-01-20,0.069219
2017-01-19,0.069346
2017-01-18,0.069225
2017-01-17,0.069234
2017-01-13,0.069777
2017-01-12,0.069655
2017-01-11,0.069364
