RESULT_COUNT: 2546,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,MARKETCAP
2017-11-15,887956083360.0
2017-11-14,899824907280.0
2017-11-13,913636857240.0
2017-11-10,917313041640.0
2017-11-09,923667588960.0
2017-11-08,925558198080.0
2017-11-07,918048278520.0
2017-11-06,917575626240.0
2017-11-03,905916870000.0
2017-10-24,820717313180.0
2017-10-23,817315538830.0
2017-10-20,817734218750.0
2017-10-19,816321174020.0
2017-10-18,836103800240.0
2017-10-17,839819584530.0
2017-10-16,836731820120.0
2017-10-13,821607008010.0
2017-10-12,816425844000.0
2017-10-11,819304268450.0
2017-10-10,815902494100.0
2017-10-09,815588484160.0
2017-10-06,812762394700.0
2017-10-05,813024069650.0
2017-10-04,803084608349.2
2017-10-03,808470925520.0
2017-10-02,804964481190.0
2017-09-29,806586865880.0
2017-09-28,802190726720.0
2017-09-27,807162550770.0
2017-09-26,801458036860.0
2017-09-25,787903274450.0
2017-09-22,794916163110.0
2017-09-21,802766411610.0
2017-09-20,816792188930.0
2017-09-19,830713296270.0
2017-09-18,830399286330.0
2017-09-15,836731820120.0
2017-09-14,828358221720.0
2017-09-13,835528115350.0
2017-09-12,841651309180.0
2017-09-11,845210088500.0
2017-09-08,830189946370.0
2017-09-07,843954048740.0
2017-09-06,847355823090.0
2017-09-05,848245517920.0
2017-09-01,858555510950.0
2017-08-31,858293836000.0
2017-08-30,854892061650.0
2017-08-29,852589322090.0
2017-08-28,845053083530.0
2017-08-25,836627150140.0
2017-08-24,833539385730.0
2017-08-23,837255170020.0
2017-08-22,836208470220.0
2017-08-21,822758377790.0
2017-08-18,824276092500.0
2017-08-17,826212487130.0
2017-08-16,842331664050.0
2017-08-15,845733438400.0
2017-08-14,836574815150.0
2017-08-11,824171422520.0
2017-08-10,812605389730.0
2017-08-09,842907348940.0
2017-08-08,837778519920.0
2017-08-07,829980606410.0
2017-08-04,818466908610.0
2017-08-03,814175439430.0
2017-08-02,822392032860.0
2017-08-01,789516284400.0
2017-07-31,783202258800.0
2017-07-28,786622356000.0
2017-07-27,792199745280.0
2017-07-26,807458640480.0
2017-07-25,803670225120.0
2017-07-24,800250127920.0
2017-07-21,790673855760.0
2017-07-20,791042173920.0
2017-07-19,794620121760.0
2017-07-18,789674135040.0
2017-07-17,786938057280.0
2017-07-14,784201979520.0
2017-07-13,777519635760.0
2017-07-12,766838409120.0
2017-07-11,761631109470.0
2017-07-10,763260461280.0
2017-07-07,758630175840.0
2017-07-06,751000728240.0
2017-07-05,758156623920.0
2017-07-03,755052228000.0
2017-06-30,757788305760.0
2017-06-29,755999331840.0
2017-06-28,767311961040.0
2017-06-27,756315033120.0
2017-06-26,767259344160.0
2017-06-23,769679720640.0
2017-06-22,766259623440.0
2017-06-21,767522428560.0
2017-06-20,762997376880.0
2017-06-19,769995421920.0
2017-06-16,748580351760.0
2017-06-15,759208961520.0
2017-06-14,763786630080.0
2017-06-13,771310843920.0
2017-06-12,764628500160.0
2017-06-09,783886278240.0
2017-06-08,815509023120.0
2017-06-07,817508464560.0
2017-06-06,812667711600.0
2017-06-05,809931633840.0
2017-06-02,817929399600.0
2017-06-01,805985367840.0
2017-05-31,803775458880.0
2017-05-30,808563594960.0
2017-05-26,808247893680.0
2017-05-25,809615932560.0
2017-05-24,806827237920.0
2017-05-23,809247614400.0
2017-05-22,810247335120.0
2017-05-19,805353965280.0
2017-05-18,802617887520.0
2017-05-17,790568622000.0
2017-05-16,818034633360.0
2017-05-15,819244821600.0
2017-05-12,821349496800.0
2017-05-11,810036867600.0
2017-05-10,806406302880.0
2017-05-09,810089484480.0
2017-05-08,805038264000.0
2017-05-05,783781044480.0
2017-05-04,770995142640.0
2017-05-03,773783837280.0
2017-05-02,785932542450.0
2017-05-01,781084067000.0
2017-04-28,765366481750.0
2017-04-27,766112401050.0
2017-04-26,765370744146.0
2017-04-25,770108397300.0
2017-04-24,765206641900.0
2017-04-21,758013848650.0
2017-04-20,758919607800.0
2017-04-19,749542336600.0
2017-04-18,752312894000.0
2017-04-17,755509691000.0
2017-04-13,751513694750.0
2017-04-12,755456411050.0
2017-04-11,754603931850.0
2017-04-10,762649204300.0
2017-04-07,763714803300.0
2017-04-06,765419761700.0
2017-04-05,767337839900.0
2017-04-04,771333836150.0
2017-04-03,765632881500.0
2017-03-31,765419761700.0
2017-03-30,766858320350.0
2017-03-29,767870639400.0
2017-03-28,766165681000.0
2017-03-27,750607935600.0
2017-03-24,749329216800.0
2017-03-23,750821055400.0
2017-03-22,753485052900.0
2017-03-21,745145142326.5
2017-03-20,753644892750.0
2017-03-17,745866020050.0
2017-03-16,749435776700.0
2017-03-15,748370177700.0
2017-03-14,740538025050.0
2017-03-13,741656904000.0
2017-03-10,741337224300.0
2017-03-09,738726506750.0
2017-03-08,740910984700.0
2017-03-07,743361862400.0
2017-03-06,742402823300.0
2017-03-03,744747141100.0
2017-03-02,740378185200.0
2017-03-01,744720501125.0
2017-02-28,729882035050.0
2017-02-27,729562355350.0
2017-02-24,728123796700.0
2017-02-23,727431157350.0
2017-02-22,730521394450.0
2017-02-21,728336916500.0
2017-02-17,723115481400.0
2017-02-16,721090843300.0
2017-02-15,721996602450.0
2017-02-14,719332604950.0
2017-02-13,710172715946.0
2017-02-10,703934699400.0
2017-02-09,705479817950.0
2017-02-08,703508459800.0
2017-02-07,700791182350.0
2017-02-06,694184468550.0
2017-02-03,687737594600.0
2017-02-02,684753917400.0
2017-02-01,686196738446.0
2017-01-31,667459099350.0
2017-01-30,668999178030.0
2017-01-27,670759267950.0
2017-01-26,670704265140.0
2017-01-25,670209239850.0
2017-01-24,659873111794.8
2017-01-23,660473742480.0
2017-01-20,660033720000.0
2017-01-19,658823658180.0
