RESULT_COUNT: 35,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: AAPL
DATE,NETINCOME
2017-09-30,48351000000.0
2017-07-01,46651000000.0
2017-04-01,45730000000.0
2016-12-31,45217000000.0
2016-09-24,45687000000.0
2016-06-25,47797000000.0
2016-03-26,50678000000.0
2015-12-26,53731000000.0
2015-09-26,53394000000.0
2015-06-27,50737000000.0
2015-03-28,47808000000.0
2014-12-27,44462000000.0
2014-09-27,39510000000.0
2014-06-28,38555000000.0
2014-03-29,37707000000.0
2013-12-28,37031000000.0
2013-09-28,37037000000.0
2013-06-29,37748000000.0
2013-03-30,39672000000.0
2012-12-29,41747000000.0
2012-09-29,41733000000.0
2012-06-30,40133000000.0
2012-03-31,38617000000.0
2011-12-31,32982000000.0
2011-09-24,25922000000.0
2011-06-25,23607000000.0
2011-03-26,19552000000.0
2010-12-25,16639000000.0
2010-09-25,14013000000.0
2010-06-26,12237000000.0
2010-03-27,10812000000.0
2009-12-26,9358000000.0
2009-09-26,8235000000.0
2008-09-27,6119000000.0
2007-09-29,3495000000.0
