RESULT_COUNT: 9313,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-11-15,169.97,170.3197,168.38,169.08,28702351.0,0.0,1.0,169.97,170.3197,168.38,169.08,28702351.0
2017-11-14,173.04,173.48,171.18,171.34,24782487.0,0.0,1.0,173.04,173.48,171.18,171.34,24782487.0
2017-11-13,173.5,174.5,173.4,173.97,16982080.0,0.0,1.0,173.5,174.5,173.4,173.97,16982080.0
2017-11-10,175.11,175.38,174.27,174.67,25145500.0,0.63,1.0,175.11,175.38,174.27,174.67,25145500.0
2017-11-09,175.11,176.095,173.14,175.88,29185668.0,0.0,1.0,174.480682829435,175.462142897889,172.517762692527,175.247915573303,29185668.0
2017-11-08,174.66,176.24,174.33,176.24,23907639.0,0.0,1.0,174.032300057045,175.606621791215,173.703486023959,175.606621791215,23907639.0
2017-11-07,173.91,175.25,173.6,174.81,24361485.0,0.0,1.0,173.284995436395,174.620179691957,172.976109526526,174.181760981175,24361485.0
2017-11-06,172.365,174.99,171.72,174.25,35026306.0,0.0,1.0,171.745547917855,174.361114090131,171.102865944096,173.62377353109,35026306.0
2017-11-03,174.0,174.26,171.12,172.5,59398631.0,0.0,1.0,173.374671990873,173.633737592698,170.505022247576,171.880062749572,59398631.0
2017-11-02,167.64,168.5,165.28,168.11,41393373.0,0.0,1.0,167.037528807758,167.894438106104,164.686010268112,167.505839703366,41393373.0
2017-11-01,169.87,169.94,165.61,166.89,33637762.0,0.0,1.0,169.259514546492,169.329262977752,165.014824301198,166.290224187108,33637762.0
2017-10-31,167.9,169.6499,166.94,169.04,36046828.0,0.0,1.0,167.296594409584,169.040205550485,166.340044495151,168.432497432972,36046828.0
2017-10-30,163.89,168.07,163.72,166.72,44700772.0,0.0,1.0,163.301005704507,167.465983456931,163.131616657159,166.12083513976,44700772.0
2017-10-27,159.29,163.6,158.7,163.05,44454160.0,0.0,1.0,158.717537364518,163.012047917855,158.129657729606,162.464024529378,44454160.0
2017-10-26,157.23,157.8295,156.78,157.41,17000469.0,0.0,1.0,156.664940673132,157.262286166572,156.216557900742,156.844293782088,17000469.0
2017-10-25,156.91,157.55,155.27,156.41,21207098.0,0.0,1.0,156.346090701654,156.983790644609,154.711984597832,155.847887621221,21207098.0
2017-10-24,156.29,157.42,156.2,157.1,17757230.0,0.0,1.0,155.728318881917,156.854257843697,155.638642327439,156.535407872219,17757230.0
2017-10-23,156.89,157.69,155.5,156.17,21984327.0,0.0,1.0,156.326162578437,157.123287507131,154.941158014832,155.608750142613,21984327.0
2017-10-20,156.61,157.75,155.96,156.25,23974146.0,0.0,1.0,156.047168853394,157.183071876783,155.399504848831,155.688462635482,23974146.0
2017-10-19,156.75,157.08,155.02,155.98,42584166.0,0.0,1.0,156.186665715916,156.515479749002,154.462883057616,155.419432972048,42584166.0
2017-10-18,160.42,160.71,159.6,159.76,16374164.0,0.0,1.0,159.843476326298,160.132434112949,159.026423274387,159.185848260125,16374164.0
2017-10-17,159.78,160.87,159.23,160.47,18997275.0,0.0,1.0,159.205776383343,160.291859098688,158.657752994866,159.893296634341,18997275.0
2017-10-16,157.9,160.0,157.65,159.88,24121452.0,0.0,1.0,157.332532800913,159.424985738734,157.083431260696,159.30541699943,24121452.0
2017-10-13,156.73,157.28,156.41,156.99,16394188.0,0.0,1.0,156.166737592698,156.714760981175,155.847887621221,156.425803194524,16394188.0
2017-10-12,156.35,157.37,155.7299,156.0,16125054.0,0.0,1.0,155.788103251569,156.804437535653,155.170231791215,155.439361095265,16125054.0
2017-10-11,155.97,156.98,155.75,156.55,16905640.0,0.0,1.0,155.409468910439,156.415839132915,155.190259555048,155.987384483742,16905640.0
2017-10-10,156.055,158.0,155.1,155.9,15617014.0,0.0,1.0,155.494163434113,157.432173416999,154.542595550485,155.339720479179,15617014.0
2017-10-09,155.81,156.73,155.485,155.84,16262923.0,0.0,1.0,155.250043924701,156.166737592698,154.926211922419,155.279936109527,16262923.0
2017-10-06,154.97,155.49,154.56,155.3,17407558.0,0.0,1.0,154.413062749572,154.931193953223,154.004536223617,154.741876782658,17407558.0
2017-10-05,154.18,155.44,154.05,155.39,21283769.0,0.0,1.0,153.625901882487,154.88137364518,153.496369081574,154.831553337136,21283769.0
2017-10-04,153.63,153.86,152.46,153.48,20163750.0,0.0,1.0,153.07787849401,153.30705191101,151.912083285796,152.92841756988,20163750.0
2017-10-03,154.01,155.09,153.91,154.48,16230293.0,0.0,1.0,153.45651283514,154.532631488876,153.356872219053,153.924823730747,16230293.0
2017-10-02,154.26,154.45,152.72,153.81,18698842.0,0.0,1.0,153.705614375357,153.894931545921,152.171148887621,153.257231602966,18698842.0
2017-09-29,153.21,154.13,152.0,154.12,26299810.0,0.0,1.0,152.659387906446,153.576081574444,151.453736451797,153.566117512835,26299810.0
2017-09-28,153.89,154.28,152.7,153.28,22005455.0,0.0,1.0,153.336944095836,153.725542498574,152.151220764404,152.729136337707,22005455.0
2017-09-27,153.8,154.7189,153.54,154.23,25504227.0,0.0,1.0,153.247267541358,154.162865162578,152.988201939532,153.675722190531,25504227.0
2017-09-26,151.78,153.92,151.69,153.14,36660045.0,0.0,1.0,151.234527096406,153.366836280662,151.144850541928,152.589639475185,36660045.0
2017-09-25,149.99,151.83,149.16,150.55,44387336.0,0.0,1.0,149.450960068454,151.28434740445,148.623942954934,150.00894751854,44387336.0
2017-09-22,152.02,152.27,150.56,151.89,46645443.0,0.0,1.0,151.473664575014,151.722766115231,150.018911580148,151.344131774102,46645443.0
2017-09-21,155.8,155.8,152.75,153.39,37511661.0,0.0,1.0,155.240079863092,155.240079863092,152.201041072447,152.838741015402,37511661.0
2017-09-20,157.9,158.26,153.83,156.07,52951364.0,0.0,1.0,157.332532800913,157.691239018825,153.277159726184,155.509109526526,52951364.0
2017-09-19,159.51,159.77,158.44,158.73,20810632.0,0.0,1.0,158.936746719909,159.195812321734,157.870592127781,158.159549914432,20810632.0
2017-09-18,160.11,160.5,157.995,158.67,28269435.0,0.0,1.0,159.534590416429,159.923188819167,157.427191386195,158.09976554478,28269435.0
2017-09-15,158.47,160.97,158.0,159.88,49114602.0,0.0,1.0,157.900484312607,160.391499714775,157.432173416999,159.30541699943,49114602.0
2017-09-14,158.99,159.4,158.09,158.28,23760749.0,0.0,1.0,158.418615516258,158.827142042213,157.521849971477,157.711167142042,23760749.0
2017-09-13,159.87,159.96,157.91,159.65,44907361.0,0.0,1.0,159.295452937821,159.385129492299,157.342496862521,159.07624358243,44907361.0
2017-09-12,162.61,163.96,158.77,160.86,71714046.0,0.0,1.0,162.025605818597,163.370754135767,158.199406160867,160.281895037079,71714046.0
2017-09-11,160.5,162.05,159.89,161.5,31580798.0,0.0,1.0,159.923188819167,161.467618368511,159.315381061038,160.919594980034,31580798.0
2017-09-08,160.86,161.15,158.53,158.63,28611535.0,0.0,1.0,160.281895037079,160.570852823731,157.960268682259,158.059909298346,28611535.0
2017-09-07,162.09,162.24,160.36,161.26,21928502.0,0.0,1.0,161.507474614946,161.656935539076,159.783691956646,160.680457501426,21928502.0
2017-09-06,162.71,162.99,160.52,161.91,21651726.0,0.0,1.0,162.125246434683,162.404240159726,159.943116942385,161.32812150599,21651726.0
2017-09-05,163.75,164.25,160.56,162.08,29536314.0,0.0,1.0,163.161508841985,163.659711922419,159.982973188819,161.497510553337,29536314.0
2017-09-01,164.8,164.94,163.63,164.05,16591051.0,0.0,1.0,164.207735310896,164.347232173417,163.041940102681,163.460430690245,16591051.0
2017-08-31,163.64,164.52,163.48,164.0,26785096.0,0.0,1.0,163.05190416429,163.928741585853,162.892479178551,163.410610382202,26785096.0
2017-08-30,163.8,163.89,162.61,163.35,27269584.0,0.0,1.0,163.211329150029,163.301005704507,162.025605818597,162.762946377638,27269584.0
2017-08-29,160.1,163.12,160.0,162.91,29516910.0,0.0,1.0,159.52462635482,162.533772960639,159.424985738734,162.324527666857,29516910.0
2017-08-28,160.14,162.0,159.93,161.47,25965972.0,0.0,1.0,159.564482601255,161.417798060468,159.355237307473,160.889702795208,25965972.0
2017-08-25,159.65,160.56,159.27,159.86,25480063.0,0.0,1.0,159.07624358243,159.982973188819,158.697609241301,159.285488876212,25480063.0
2017-08-24,160.43,160.74,158.55,159.27,19818918.0,0.0,1.0,159.853440387906,160.162326297775,157.980196805476,158.697609241301,19818918.0
2017-08-23,159.07,160.47,158.88,159.98,19399081.0,0.0,1.0,158.498328009127,159.893296634341,158.309010838562,159.405057615516,19399081.0
2017-08-22,158.23,160.0,158.02,159.78,21604585.0,0.0,1.0,157.661346833999,159.424985738734,157.452101540217,159.205776383343,21604585.0
2017-08-21,157.5,157.89,155.1101,157.21,26368528.0,0.0,1.0,156.933970336566,157.322568739304,154.55265925271,156.645012549914,26368528.0
2017-08-18,157.86,159.5,156.72,157.5,27428069.0,0.0,1.0,157.292676554478,158.9267826583,156.15677353109,156.933970336566,27428069.0
2017-08-17,160.52,160.71,157.84,157.86,27940565.0,0.0,1.0,159.943116942385,160.132434112949,157.272748431261,157.292676554478,27940565.0
2017-08-16,161.94,162.51,160.15,160.95,27671612.0,0.0,1.0,161.358013690816,161.92596520251,159.574446662864,160.371571591557,27671612.0
2017-08-15,160.66,162.195,160.14,161.6,29465487.0,0.0,1.0,160.082613804906,161.612097261837,159.564482601255,161.019235596121,29465487.0
2017-08-14,159.32,160.21,158.75,159.85,22122734.0,0.0,1.0,158.747429549344,159.634231032516,158.17947803765,159.275524814604,22122734.0
2017-08-11,156.6,158.5728,156.07,157.48,26257096.0,0.0,1.0,156.037204791786,158.002914865944,155.509109526526,156.914042213349,26257096.0
2017-08-10,159.9,160.0,154.63,155.32,40804273.0,0.63,1.0,159.325345122647,159.424985738734,154.074284654877,154.761804905876,40804273.0
2017-08-09,159.26,161.27,159.11,161.059998,26131530.0,0.0,1.0,158.046585760242,160.041271415008,157.897728621827,159.832869436465,26131530.0
2017-08-08,158.6,161.83,158.27,160.08,36205896.0,0.0,1.0,157.391614351214,160.597004731759,157.0641286467,158.860338116913,36205896.0
2017-08-07,157.06,158.92,156.6701,158.81,21870321.0,0.0,1.0,155.86334773015,157.709176246501,155.476418408362,157.600014344996,21870321.0
2017-08-04,156.07,157.4,155.69,156.39,20559852.0,0.0,1.0,154.880890616608,156.200757243891,154.503785865956,155.198452511894,20559852.0
2017-08-03,157.05,157.21,155.02,155.57,27097296.0,0.0,1.0,155.853423920922,156.012204868565,153.8388906477,154.384700155223,27097296.0
2017-08-02,159.28,159.75,156.16,157.14,69936800.0,0.0,1.0,158.066433378697,158.532852412399,154.970204899657,155.942738203971,69936800.0
2017-08-01,149.1,150.22,148.41,150.05,35368645.0,0.0,1.0,147.963995584906,149.075462218407,147.279252748195,148.906757461537,35368645.0
2017-07-31,149.9,150.33,148.13,148.73,19845920.0,0.0,1.0,148.757900323121,149.184624119912,147.00138608982,147.596814643481,19845920.0
2017-07-28,149.89,150.23,149.19,149.5,17213653.0,0.0,1.0,148.747976513894,149.085386027635,148.053309867955,148.360947954014,17213653.0
2017-07-27,153.75,153.99,147.3,150.56,32476337.0,0.0,1.0,152.578566875783,152.816738297248,146.177709923921,149.412871732149,32476337.0
2017-07-26,153.35,153.93,153.06,153.46,15780951.0,0.0,1.0,152.181614506675,152.757195441882,151.893824039072,152.29077640818,15780951.0
2017-07-25,151.8,153.84,151.8,152.74,18853932.0,0.0,1.0,150.643424076383,152.667881158832,150.643424076383,151.576262143786,18853932.0
2017-07-24,150.58,152.44,149.9,152.09,21493160.0,0.0,1.0,149.432719350604,151.278547866955,148.757900323121,150.931214543986,21493160.0
2017-07-21,149.99,150.44,148.88,150.27,26252630.0,0.0,1.0,148.84721460617,149.293786021417,147.745671781897,149.125081264546,26252630.0
2017-07-20,151.5,151.74,150.19,150.34,17243748.0,0.0,1.0,150.345709799552,150.583881221017,149.045690790724,149.19454792914,17243748.0
2017-07-19,150.48,151.42,149.95,151.02,20922969.0,0.0,1.0,149.333481258327,150.266319325731,148.80751936926,149.869366956623,20922969.0
2017-07-18,149.2,150.13,148.67,150.08,17868792.0,0.0,1.0,148.063233677183,148.986147935358,147.537271788115,148.93652888922,17868792.0
2017-07-17,148.82,150.9,148.57,149.56,23793456.0,0.0,1.0,147.68612892653,149.750281245891,147.438033695838,148.42049080938,23793456.0
2017-07-14,147.97,149.33,147.33,149.04,20132061.0,0.0,1.0,146.842605142176,148.192243197143,146.207481351604,147.90445272954,20132061.0
2017-07-13,145.5,148.49,145.44,147.77,25199373.0,0.0,1.0,144.391424262936,147.358643222017,144.33188140757,146.644128957623,25199373.0
2017-07-12,145.87,146.18,144.82,145.74,24884478.0,0.0,1.0,144.758605204361,145.066243290419,143.716605235453,144.629595684401,24884478.0
2017-07-11,144.73,145.85,144.38,145.53,19781836.0,0.0,1.0,143.627290952404,144.738757585905,143.279957629435,144.421195690619,19781836.0
2017-07-10,144.11,145.95,143.37,145.06,21090636.0,0.0,1.0,143.012014780287,144.837995678182,142.277652897438,143.954776656918,21090636.0
2017-07-07,142.9,144.75,142.9,144.18,19201712.0,0.0,1.0,141.811233863736,143.647138570859,141.811233863736,143.081481444881,19201712.0
2017-07-06,143.02,143.5,142.41,142.73,24128782.0,0.0,1.0,141.930319574468,142.406662417398,141.324967211579,141.642529106865,24128782.0
