RESULT_COUNT: 10026,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-11-15,29026.11,29106.49,28851.69,28851.69,,,,,,,,
2017-11-14,29272.1,29320.03,29143.63,29152.12,,,,,,,,
2017-11-13,29058.23,29258.5,29058.23,29182.18,,,,,,,,
2017-11-10,29060.13,29237.85,29036.45,29120.92,,,,,,,,
2017-11-09,28987.79,29192.51,28960.05,29136.57,,,,,,,,
2017-11-08,28950.5,29123.44,28885.07,28907.6,,,,,,,,
2017-11-07,28715.4,29017.4,28715.07,28994.34,,,,,,,,
2017-11-06,28616.35,28650.79,28137.77,28596.8,,,,,,,,
2017-11-03,28603.51,28661.29,28542.66,28603.61,,,,,,,,
2017-11-02,28604.95,28643.58,28492.2,28518.64,,,,,,,,
2017-11-01,28387.55,28606.59,28329.5,28594.06,,,,,,,,
2017-10-31,28247.0,28354.11,28183.79,28245.54,,,,,,,,
2017-10-30,28585.15,28650.82,28336.19,28336.19,,,,,,,,
2017-10-27,28332.91,28494.52,28305.73,28438.85,,,,,,,,
2017-10-26,28165.61,28316.2,28102.75,28202.38,,,,,,,,
2017-10-25,28238.85,28387.21,28198.56,28302.89,,,,,,,,
2017-10-24,28232.62,28356.1,28098.83,28154.97,,,,,,,,
2017-10-23,28557.8,28557.8,28253.32,28305.88,,,,,,,,
2017-10-20,28360.02,28519.76,28313.7,28487.24,,,,,,,,
2017-10-19,28783.85,28798.78,28094.54,28159.09,,,,,,,,
2017-10-18,28636.2,28729.34,28629.73,28711.76,,,,,,,,
2017-10-17,28777.18,28777.18,28641.95,28697.49,,,,,,,,
2017-10-16,28661.98,28792.06,28620.38,28692.8,,,,,,,,
2017-10-13,28423.65,28492.39,28369.87,28476.43,,,,,,,,
2017-10-12,28431.05,28528.71,28343.32,28459.03,,,,,,,,
2017-10-11,28622.01,28625.66,28330.73,28389.57,,,,,,,,
2017-10-10,28334.92,28503.84,28260.2,28490.83,,,,,,,,
2017-10-09,28440.17,28488.35,28282.01,28326.59,,,,,,,,
2017-10-06,28626.41,28626.41,28377.85,28458.04,,,,,,,,
2017-10-04,28311.27,28521.77,28311.27,28379.18,,,,,,,,
2017-10-03,27884.21,28194.16,27737.38,28173.21,,,,,,,,
2017-09-29,27492.13,27581.13,27383.16,27554.3,,,,,,,,
2017-09-28,27661.27,27665.16,27421.6,27421.6,,,,,,,,
2017-09-27,27503.05,27673.4,27503.05,27642.43,,,,,,,,
2017-09-26,27308.61,27567.88,27300.37,27513.01,,,,,,,,
2017-09-25,27851.54,27851.54,27476.27,27500.34,,,,,,,,
2017-09-22,27949.83,27960.92,27845.52,27880.53,,,,,,,,
2017-09-21,28091.24,28184.37,28046.94,28110.33,,,,,,,,
2017-09-20,28099.29,28149.36,28013.11,28127.8,,,,,,,,
2017-09-19,28200.54,28248.12,28032.17,28051.41,,,,,,,,
2017-09-18,27971.37,28160.39,27917.18,28159.77,,,,,,,,
2017-09-15,27736.6,27893.58,27514.04,27807.59,,,,,,,,
2017-09-14,27788.84,27895.07,27699.09,27777.2,,,,,,,,
2017-09-13,27984.27,27984.27,27751.28,27894.08,,,,,,,,
2017-09-12,28068.7,28071.54,27883.83,27972.24,,,,,,,,
2017-09-11,27877.69,27976.98,27859.0,27955.13,,,,,,,,
2017-09-08,27571.59,27708.09,27569.13,27668.47,,,,,,,,
2017-09-07,27817.87,27817.87,27492.82,27522.92,,,,,,,,
2017-09-06,27671.56,27684.26,27421.79,27613.76,,,,,,,,
2017-09-05,27797.44,27871.76,27685.3,27741.35,,,,,,,,
2017-09-04,27881.71,27884.46,27662.29,27740.26,,,,,,,,
2017-09-01,28015.22,28116.7,27915.44,27953.16,,,,,,,,
2017-08-31,27934.45,27994.06,27861.48,27970.3,,,,,,,,
2017-08-30,27957.74,28127.9,27912.82,28094.61,,,,,,,,
2017-08-29,27744.58,27839.83,27638.73,27765.01,,,,,,,,
2017-08-28,27905.59,28071.59,27806.05,27863.29,,,,,,,,
2017-08-25,27539.11,27878.37,27480.11,27848.16,,,,,,,,
2017-08-24,27642.23,27642.23,27485.87,27518.6,,,,,,,,
2017-08-22,27322.2,27509.06,27316.08,27401.67,,,,,,,,
2017-08-21,27100.63,27221.31,27086.43,27154.68,,,,,,,,
2017-08-18,26999.6,27236.32,26951.92,27047.57,,,,,,,,
2017-08-17,27610.29,27624.52,27302.48,27344.22,,,,,,,,
2017-08-16,27238.81,27422.3,27238.81,27409.07,,,,,,,,
2017-08-15,27371.25,27438.42,27174.96,27174.96,,,,,,,,
2017-08-14,27091.77,27268.23,27032.4,27250.23,,,,,,,,
