RESULT_COUNT: 8901,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-11-14,1137.77,1137.77,1131.56,1136.74,1038220709.0,,,,,,,
2017-11-13,1137.87,1142.18,1136.74,1140.82,938357101.0,,,,,,,
2017-11-10,1139.87,1141.15,1137.69,1140.39,870961596.0,,,,,,,
2017-11-09,1141.13,1142.9,1133.5,1142.07,898481124.0,,,,,,,
2017-11-08,1143.24,1145.7,1141.2,1145.43,915291371.0,,,,,,,
2017-11-07,1144.12,1146.19,1141.22,1144.14,840979688.0,,,,,,,
2017-11-06,1142.91,1144.94,1141.62,1143.77,872671483.0,,,,,,,
2017-11-03,1141.32,1144.01,1138.1,1143.41,902597916.0,,,,,,,
2017-11-02,1139.99,1140.07,1132.82,1139.47,997484832.0,,,,,,,
2017-11-01,1140.24,1143.05,1137.86,1140.13,878214654.0,,,,,,,
2017-10-31,1138.41,1138.56,1135.47,1136.83,944959313.0,,,,,,,
2017-10-30,1138.84,1140.35,1134.67,1136.75,991674153.0,,,,,,,
2017-10-27,1135.2,1141.64,1133.13,1140.09,1216083648.0,,,,,,,
2017-10-26,1127.88,1131.44,1127.43,1127.48,1046179624.0,,,,,,,
2017-10-25,1131.18,1132.07,1121.89,1127.44,1058088755.0,,,,,,,
2017-10-24,1131.71,1133.33,1130.19,1131.82,1014993230.0,,,,,,,
2017-10-23,1136.39,1136.51,1129.89,1130.15,952566113.0,,,,,,,
2017-10-20,1132.25,1135.3,1132.11,1135.26,1074425707.0,,,,,,,
2017-10-19,1127.75,1130.86,1125.91,1130.71,844251679.0,,,,,,,
2017-10-18,1132.82,1133.37,1131.34,1131.78,757399770.0,,,,,,,
2017-10-17,1129.33,1131.13,1128.74,1130.97,746663887.0,,,,,,,
2017-10-16,1127.44,1130.07,1126.98,1129.29,709571795.0,,,,,,,
2017-10-13,1126.85,1128.18,1125.63,1126.16,862296700.0,,,,,,,
2017-10-12,1127.67,1127.67,1123.78,1125.04,884524356.0,,,,,,,
2017-10-11,1126.75,1128.89,1125.5,1128.89,783782643.0,,,,,,,
2017-10-10,1125.62,1128.01,1123.55,1126.49,742348551.0,,,,,,,
2017-10-09,1126.18,1126.58,1122.2,1123.61,689545150.0,,,,,,,
2017-10-06,1124.32,1125.08,1122.49,1125.03,679511162.0,,,,,,,
2017-10-05,1120.49,1126.62,1120.19,1126.5,740668551.0,,,,,,,
2017-10-04,1118.43,1120.94,1117.37,1119.21,679117269.0,,,,,,,
2017-10-03,1117.14,1119.71,1117.06,1119.35,695585388.0,,,,,,,
2017-10-02,1113.24,1116.81,1113.03,1116.74,748542673.0,,,,,,,
2017-09-29,1108.5,1112.22,1106.95,1112.19,777427496.0,,,,,,,
2017-09-28,1105.9,1109.49,1105.9,1108.71,723735597.0,,,,,,,
2017-09-27,1105.56,1109.39,1102.79,1107.37,851004973.0,,,,,,,
2017-09-26,1105.42,1106.45,1102.42,1103.21,721266530.0,,,,,,,
2017-09-25,1105.15,1106.54,1100.22,1103.6,888821313.0,,,,,,,
2017-09-22,1104.77,1107.17,1104.23,1106.61,738343568.0,,,,,,,
2017-09-21,1109.67,1109.67,1105.6,1106.39,727563947.0,,,,,,,
2017-09-20,1109.07,1110.49,1105.18,1110.16,873343384.0,,,,,,,
2017-09-19,1107.53,1109.94,1106.63,1109.26,781589412.0,,,,,,,
2017-09-18,1105.62,1108.54,1104.46,1106.26,796880186.0,,,,,,,
2017-09-15,1103.97,1105.58,1102.64,1105.11,1349648463.0,,,,,,,
2017-09-14,1103.35,1105.24,1102.19,1103.66,780371450.0,,,,,,,
2017-09-13,1101.95,1104.88,1101.14,1104.88,768120919.0,,,,,,,
2017-09-12,1100.57,1103.17,1100.4,1103.03,874550505.0,,,,,,,
2017-09-11,1093.0,1099.14,1093.0,1098.54,818374879.0,,,,,,,
2017-09-08,1089.46,1090.22,1086.43,1086.98,835787218.0,,,,,,,
2017-09-07,1091.73,1092.66,1088.16,1090.41,988658555.0,,,,,,,
2017-09-06,1089.55,1092.31,1087.42,1090.44,837124826.0,,,,,,,
2017-09-05,1092.38,1093.1,1081.82,1086.74,905456781.0,,,,,,,
2017-09-01,1095.22,1097.26,1094.04,1095.25,688431971.0,,,,,,,
2017-08-31,1090.14,1095.54,1090.08,1093.78,966883599.0,,,,,,,
2017-08-30,1083.56,1089.41,1082.58,1087.93,645239052.0,,,,,,,
2017-08-29,1075.98,1084.72,1073.95,1083.41,587687533.0,,,,,,,
2017-08-28,1081.83,1082.83,1079.02,1081.17,565204936.0,,,,,,,
2017-08-25,1081.01,1085.39,1079.92,1080.02,592153859.0,,,,,,,
2017-08-24,1082.28,1083.47,1076.97,1078.68,627038535.0,,,,,,,
2017-08-23,1082.12,1083.75,1080.47,1081.27,603037800.0,,,,,,,
2017-08-22,1077.11,1086.27,1077.08,1085.24,625604269.0,,,,,,,
2017-08-21,1073.42,1075.89,1069.53,1074.72,678354016.0,,,,,,,
2017-08-18,1074.95,1080.37,1071.79,1073.52,775686540.0,,,,,,,
2017-08-17,1090.41,1090.54,1076.11,1076.11,781230147.0,,,,,,,
2017-08-16,1093.15,1096.02,1090.58,1092.58,675969361.0,,,,,,,
2017-08-15,1093.75,1094.33,1090.54,1091.76,647183007.0,,,,,,,
2017-08-14,1087.83,1093.02,1087.83,1092.05,624921448.0,,,,,,,
2017-08-11,1082.05,1084.77,1079.91,1081.8,649753498.0,,,,,,,
2017-08-10,1091.28,1091.28,1079.56,1079.89,814878479.0,,,,,,,
2017-08-09,1090.61,1095.38,1089.24,1095.14,722842021.0,,,,,,,
2017-08-08,1096.08,1102.07,1093.23,1095.22,723840299.0,,,,,,,
2017-08-07,1095.79,1097.25,1094.61,1097.21,607529537.0,,,,,,,
2017-08-04,1095.13,1097.12,1093.14,1095.42,749396398.0,,,,,,,
2017-08-03,1094.71,1094.75,1091.57,1092.9,742095208.0,,,,,,,
2017-08-02,1095.93,1095.93,1090.02,1094.92,856434702.0,,,,,,,
2017-08-01,1092.48,1093.24,1090.52,1092.41,885018914.0,,,,,,,
2017-07-31,0.0,0.0,0.0,1088.94,887040091.0,,,,,,,
2017-07-28,1088.8,1090.14,1085.72,1089.53,875517555.0,,,,,,,
2017-07-27,1094.67,1095.92,1084.99,1092.25,1136035703.0,,,,,,,
2017-07-26,1091.82,1092.88,1090.08,1091.47,886549176.0,,,,,,,
2017-07-25,1090.28,1091.84,1089.32,1090.07,878502967.0,,,,,,,
2017-07-24,1087.55,1088.56,1084.91,1086.82,759550044.0,,,,,,,
2017-07-21,1086.05,1087.83,1084.54,1087.74,833860392.0,,,,,,,
2017-07-20,1090.08,1091.33,1086.94,1089.26,869752138.0,,,,,,,
2017-07-19,1085.06,1089.21,1085.06,1089.21,718412856.0,,,,,,,
2017-07-18,1081.03,1084.04,1078.65,1083.95,724536783.0,,,,,,,
2017-07-17,1083.2,1084.43,1081.61,1082.45,684494918.0,,,,,,,
2017-07-14,1078.84,1085.11,1077.1,1083.13,707624297.0,,,,,,,
2017-07-13,1076.57,1079.06,1075.67,1078.41,713549349.0,,,,,,,
2017-07-12,1072.85,1077.3,1072.85,1075.97,716812092.0,,,,,,,
2017-07-11,1069.57,1070.34,1063.08,1068.81,675259363.0,,,,,,,
2017-07-10,1068.44,1071.67,1067.38,1069.62,652513699.0,,,,,,,
2017-07-07,1064.34,1069.27,1064.14,1068.65,629010521.0,,,,,,,
2017-07-06,1068.76,1069.17,1061.97,1062.75,795544324.0,,,,,,,
2017-07-05,1071.5,1073.87,1067.63,1072.77,757787866.0,,,,,,,
2017-07-03,1071.05,1075.47,1070.33,1070.5,538593045.0,,,,,,,
2017-06-30,1071.07,1071.78,1067.14,1067.71,823839967.0,,,,,,,
2017-06-29,1076.37,1076.52,1060.83,1066.68,992273789.0,,,,,,,
2017-06-28,1070.21,1076.53,1069.98,1075.74,818815568.0,,,,,,,
2017-06-27,1073.62,1075.29,1066.36,1066.36,799903349.0,,,,,,,
2017-06-26,1077.61,1080.95,1074.82,1075.26,704556431.0,,,,,,,
2017-06-23,1073.61,1076.94,1072.27,1075.43,1089320458.0,,,,,,,
2017-06-22,1075.48,1077.02,1073.44,1073.88,811943767.0,,,,,,,
2017-06-21,1075.08,1076.7,1072.32,1074.44,827675233.0,,,,,,,
2017-06-20,1080.05,1080.05,1074.61,1074.69,790880722.0,,,,,,,
2017-06-19,1076.2,1081.31,1075.78,1081.24,753408238.0,,,,,,,
2017-06-16,1071.37,1072.02,1067.15,1071.85,1349126869.0,,,,,,,
2017-06-15,1068.18,1072.31,1065.11,1071.66,781356459.0,,,,,,,
2017-06-14,1076.11,1076.27,1069.59,1074.0,823083402.0,,,,,,,
2017-06-13,1072.94,1075.3,1071.16,1074.64,796678115.0,,,,,,,
2017-06-12,1069.27,1071.62,1066.3,1070.71,1162355202.0,,,,,,,
2017-06-09,1074.12,1078.54,1063.75,1071.9,1028252567.0,,,,,,,
2017-06-08,1073.53,1076.07,1070.73,1073.04,897650157.0,,,,,,,
2017-06-07,1073.01,1074.35,1069.56,1073.47,749880665.0,,,,,,,
2017-06-06,1072.39,1074.97,1071.19,1071.62,750455591.0,,,,,,,
2017-06-05,1073.87,1075.23,1072.52,1074.0,695914777.0,,,,,,,
2017-06-02,1070.15,1074.55,1069.09,1074.36,856834285.0,,,,,,,
2017-06-01,1064.49,1069.74,1062.7,1069.74,833354764.0,,,,,,,
2017-05-31,1065.38,1065.54,1060.16,1062.91,1081909487.0,,,,,,,
2017-05-30,1063.45,1065.56,1062.89,1064.26,718268866.0,,,,,,,
2017-05-26,1064.8,1066.04,1063.71,1065.35,614668419.0,,,,,,,
2017-05-25,1062.86,1066.58,1061.93,1064.93,813989201.0,,,,,,,
2017-05-24,1059.74,1061.26,1057.76,1060.76,744679856.0,,,,,,,
2017-05-23,1057.13,1059.38,1056.45,1058.53,730214727.0,,,,,,,
2017-05-22,1053.31,1056.01,1052.45,1055.52,815772288.0,,,,,,,
2017-05-19,1046.53,1053.94,1046.24,1050.79,932361828.0,,,,,,,
2017-05-18,1039.26,1049.07,1038.68,1044.44,1019225656.0,,,,,,,
2017-05-17,1052.71,1053.41,1040.34,1040.68,1238982901.0,,,,,,,
2017-05-16,1061.79,1063.05,1059.14,1060.79,785457107.0,,,,,,,
2017-05-15,1057.89,1061.38,1057.89,1060.92,772355025.0,,,,,,,
2017-05-12,1056.55,1056.81,1054.45,1056.81,764900675.0,,,,,,,
2017-05-11,1057.15,1057.61,1052.13,1057.24,795422871.0,,,,,,,
2017-05-10,1059.6,1059.6,1056.4,1059.1,742509731.0,,,,,,,
2017-05-09,1063.71,1064.64,1058.59,1060.62,723754711.0,,,,,,,
2017-05-08,1061.58,1062.69,1059.77,1062.69,715456076.0,,,,,,,
2017-05-05,1059.15,1061.26,1057.22,1061.26,709608136.0,,,,,,,
2017-05-04,1058.85,1059.63,1054.81,1058.42,840293430.0,,,,,,,
2017-05-03,1056.32,1059.02,1054.3,1058.31,875515400.0,,,,,,,
2017-05-02,1058.67,1059.26,1056.3,1058.27,932958160.0,,,,,,,
2017-05-01,1056.8,1060.25,1055.92,1057.31,773824942.0,,,,,,,
2017-04-28,1058.79,1058.79,1054.04,1054.86,909431333.0,,,,,,,
2017-04-27,1055.77,1056.69,1052.66,1055.27,883199807.0,,,,,,,
2017-04-26,1055.94,1059.24,1054.12,1054.4,909954435.0,,,,,,,
2017-04-25,1052.6,1057.26,1052.43,1055.4,978818813.0,,,,,,,
2017-04-24,1046.81,1049.75,1046.54,1048.53,948530906.0,,,,,,,
2017-04-21,1039.97,1040.92,1035.4,1037.07,937301465.0,,,,,,,
2017-04-20,1034.63,1043.15,1034.36,1040.46,902144946.0,,,,,,,
2017-04-19,1038.04,1040.18,1031.97,1033.34,822757132.0,,,,,,,
2017-04-18,1036.91,1039.11,1033.5,1036.52,818532433.0,,,,,,,
2017-04-17,1031.75,1039.35,1031.75,1039.14,684539049.0,,,,,,,
2017-04-13,1036.339966,1039.0,1030.400024,1030.400024,3143890000.0,,,,,,,
2017-04-12,1039.800049,1040.390015,1035.819946,1037.829956,3196950000.0,,,,,,,
2017-04-11,1041.449951,1042.160034,1033.699951,1040.380005,3117420000.0,,,,,,,
2017-04-10,1043.469971,1047.150024,1040.51001,1042.719971,2785410000.0,,,,,,,
2017-04-07,1043.469971,1046.47998,1040.609985,1042.680054,3053150000.0,,,,,,,
2017-04-06,1043.869995,1047.079956,1041.439941,1043.660034,3201920000.0,,,,,,,
2017-04-05,1049.890015,1054.75,1042.839966,1043.709961,3770520000.0,,,,,,,
2017-04-04,1043.76001,1047.400024,1042.140015,1047.209961,3206240000.0,,,,,,,
2017-04-03,1046.22998,1047.76001,1039.150024,1045.530029,3416400000.0,,,,,,,
2017-03-31,1047.699951,1049.609985,1046.02002,1046.060059,3354110000.0,,,,,,,
2017-03-30,1045.959961,1050.160034,1044.540039,1049.180054,3158420000.0,,,,,,,
2017-03-29,1044.569946,1046.930054,1042.97998,1045.689941,3106940000.0,,,,,,,
2017-03-28,1037.380005,1047.780029,1036.119995,1045.339966,3367780000.0,,,,,,,
2017-03-27,1032.869995,1039.52002,1029.699951,1038.089966,3240230000.0,,,,,,,
2017-03-24,1042.150024,1044.52002,1035.48999,1039.079956,2975130000.0,,,,,,,
2017-03-23,1040.689941,1045.790039,1038.719971,1040.469971,3260600000.0,,,,,,,
2017-03-22,1040.430054,1043.869995,1037.369995,1042.22998,3572730000.0,,,,,,,
2017-03-21,1056.050049,1057.380005,1040.359985,1041.26001,4265590000.0,,,,,,,
2017-03-20,1055.26001,1056.310059,1051.959961,1053.439941,3054930000.0,,,,,,,
2017-03-17,1058.300049,1058.97998,1055.060059,1055.339966,5178040000.0,,,,,,,
2017-03-16,1059.969971,1060.329956,1055.75,1057.819946,3365660000.0,,,,,,,
2017-03-15,1053.369995,1060.469971,1052.689941,1058.609985,3906840000.0,,,,,,,
2017-03-14,1052.48999,1052.810059,1048.530029,1051.430054,3172630000.0,,,,,,,
2017-03-13,1054.290039,1055.449951,1052.689941,1054.219971,3133900000.0,,,,,,,
2017-03-10,1055.170044,1056.709961,1051.319946,1055.02002,3432950000.0,,,,,,,
2017-03-09,1050.660034,1052.98999,1047.459961,1052.01001,3716340000.0,,,,,,,
2017-03-08,1052.699951,1053.98999,1049.349976,1050.219971,3812100000.0,,,,,,,
2017-03-07,1051.839966,1054.349976,1050.439941,1051.920044,3518390000.0,,,,,,,
2017-03-06,1053.589966,1055.619995,1050.560059,1054.01001,3232700000.0,,,,,,,
2017-03-03,1055.599976,1057.089966,1053.650024,1056.839966,3555260000.0,,,,,,,
2017-03-02,1060.939941,1060.939941,1055.219971,1056.119995,3821320000.0,,,,,,,
2017-03-01,1054.01001,1063.329956,1054.01001,1061.209961,4345180000.0,,,,,,,
2017-02-28,1047.02002,1048.079956,1044.050049,1046.550049,4210140000.0,,,,,,,
2017-02-27,1046.619995,1049.170044,1045.290039,1048.339966,3582610000.0,,,,,,,
2017-02-24,1043.920044,1047.810059,1042.650024,1047.810059,3831570000.0,,,,,,,
2017-02-23,1046.97998,1047.959961,1042.839966,1047.099976,4015260000.0,,,,,,,
2017-02-22,1043.73999,1045.969971,1042.339966,1045.140015,3468670000.0,,,,,,,
2017-02-21,1041.050049,1045.800049,1041.050049,1045.22998,3579780000.0,,,,,,,
2017-02-17,1035.939941,1039.22998,1034.430054,1039.22998,3513060000.0,,,,,,,
2017-02-16,1037.910034,1038.5,1033.930054,1037.560059,3672370000.0,,,,,,,
2017-02-15,1031.400024,1038.199951,1031.0,1037.589966,3775590000.0,,,,,,,
2017-02-14,1026.050049,1032.130005,1024.569946,1032.130005,3520910000.0,,,,,,,
2017-02-13,1023.280029,1028.130005,1023.030029,1026.73999,3349730000.0,,,,,,,
2017-02-10,1018.890015,1022.26001,1018.25,1020.669983,3475020000.0,,,,,,,
2017-02-09,1013.0,1019.080017,1012.969971,1017.539978,3677940000.0,,,,,,,
2017-02-08,1011.190002,1012.969971,1009.409973,1012.460022,3609740000.0,,,,,,,
2017-02-07,1013.640015,1015.469971,1011.799988,1012.900024,3448690000.0,,,,,,,
2017-02-06,1012.190002,1013.400024,1010.559998,1012.099976,3109050000.0,,,,,,,
2017-02-03,1009.059998,1014.049988,1009.059998,1013.690002,3597970000.0,,,,,,,
2017-02-02,1004.950012,1007.609985,1002.799988,1006.150024,3807710000.0,,,,,,,
2017-02-01,1008.710022,1009.859985,1003.710022,1006.330017,3916610000.0,,,,,,,
2017-01-31,1003.140015,1004.549988,999.950012,1004.460022,4087450000.0,,,,,,,
2017-01-30,1009.150024,1009.280029,1001.969971,1006.940002,3591270000.0,,,,,,,
2017-01-27,1014.159973,1014.289978,1011.630005,1012.929993,3135890000.0,,,,,,,
2017-01-26,1013.210022,1014.159973,1011.710022,1013.119995,3610360000.0,,,,,,,
2017-01-25,1009.159973,1013.809998,1008.340027,1013.23999,3846020000.0,,,,,,,
2017-01-24,1000.820007,1007.049988,999.090027,1004.98999,3810960000.0,,,,,,,
2017-01-23,1001.309998,1003.200012,997.090027,1000.5,3152710000.0,,,,,,,
