RESULT_COUNT: 60,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,IDENTIFIER: SNE
DATE,DIVIDEND
2014-03-26,0.12
2013-09-25,0.1
2013-03-26,0.12
2012-09-25,0.15
2012-03-27,0.16
2011-09-27,0.1608
2011-03-28,0.16
2010-09-27,0.15
2010-03-26,0.1241
2009-09-25,0.1317
2009-03-26,0.119
2008-09-25,0.11
2007-09-26,0.1126
2007-03-28,0.1024
2006-09-27,0.11
2006-06-06,0.0991
2006-03-28,0.11
2005-09-27,0.11
2005-03-28,0.12
2004-09-27,0.11
2004-03-26,0.11
2003-09-25,0.1
2003-03-26,0.09
2002-09-25,0.09
2002-03-26,0.09
2002-03-25,0.1313
2001-09-25,0.09
2001-03-27,0.09
2000-09-26,0.09
2000-03-28,0.1
1999-09-27,0.1
1999-03-26,0.085
1998-09-25,0.085
1998-03-26,0.105
1997-09-25,0.085
1997-03-25,0.11
1996-09-25,0.095
1996-03-26,0.095
1995-09-27,0.105
1995-03-24,0.125
1994-09-23,0.105
1994-03-24,0.105
1993-09-23,0.095
1993-03-24,0.1
1992-09-23,0.085
1992-03-24,0.085
1991-09-23,0.075
1991-03-22,0.07
1990-09-21,0.075
1990-03-23,0.065
1989-09-22,0.065
1989-03-23,0.06
1988-09-23,0.07
1988-03-24,0.075
1987-09-23,0.075
1987-03-24,0.055
1986-10-24,0.05
1985-10-24,0.045
1985-04-23,0.05
1984-10-24,0.035
