RESULT_COUNT: 10927,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 2,API_CALL_CREDITS: 1
DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
2017-11-15,44.98,45.38,44.97,45.25,934528.0,0.0,1.0,44.98,45.38,44.97,45.25,934528.0
2017-11-14,45.95,46.13,45.85,46.05,917896.0,0.0,1.0,45.95,46.13,45.85,46.05,917896.0
2017-11-13,45.52,46.15,45.4412,46.08,971210.0,0.0,1.0,45.52,46.15,45.4412,46.08,971210.0
2017-11-10,45.9,46.35,45.87,46.22,715351.0,0.0,1.0,45.9,46.35,45.87,46.22,715351.0
2017-11-09,45.52,45.98,45.1901,45.89,1398241.0,0.0,1.0,45.52,45.98,45.1901,45.89,1398241.0
2017-11-08,47.43,47.59,47.23,47.47,1324306.0,0.0,1.0,47.43,47.59,47.23,47.47,1324306.0
2017-11-07,45.86,46.03,45.67,46.01,782582.0,0.0,1.0,45.86,46.03,45.67,46.01,782582.0
2017-11-06,45.55,45.96,45.55,45.87,1022184.0,0.0,1.0,45.55,45.96,45.55,45.87,1022184.0
2017-11-03,44.89,44.98,44.58,44.81,1363115.0,0.0,1.0,44.89,44.98,44.58,44.81,1363115.0
2017-11-02,44.13,45.085,44.13,44.89,1681888.0,0.0,1.0,44.13,45.085,44.13,44.89,1681888.0
2017-11-01,43.57,43.94,43.33,43.54,2289655.0,0.0,1.0,43.57,43.94,43.33,43.54,2289655.0
2017-10-31,43.21,45.25,42.9,43.41,6813800.0,0.0,1.0,43.21,45.25,42.9,43.41,6813800.0
2017-10-30,37.93,39.07,37.83,38.85,2200050.0,0.0,1.0,37.93,39.07,37.83,38.85,2200050.0
2017-10-27,37.7,37.85,37.59,37.83,559176.0,0.0,1.0,37.7,37.85,37.59,37.83,559176.0
2017-10-26,37.59,37.98,37.51,37.86,817436.0,0.0,1.0,37.59,37.98,37.51,37.86,817436.0
2017-10-25,37.42,37.485,36.93,37.15,503799.0,0.0,1.0,37.42,37.485,36.93,37.15,503799.0
2017-10-24,37.54,37.71,37.45,37.7,323411.0,0.0,1.0,37.54,37.71,37.45,37.7,323411.0
2017-10-23,37.66,37.77,37.48,37.51,366079.0,0.0,1.0,37.66,37.77,37.48,37.51,366079.0
2017-10-20,37.48,37.68,37.42,37.55,557140.0,0.0,1.0,37.48,37.68,37.42,37.55,557140.0
2017-10-19,37.28,37.45,37.03,37.44,784165.0,0.0,1.0,37.28,37.45,37.03,37.44,784165.0
